moving_z,moving_y,moving_x,fixed_z,fixed_y,fixed_x
0,55,111,0,27,98
0,51,123,0,30,115
0,46,133,0,37,125
0,41,144,0,46,135
0,40,156,0,56,147
0,44,167,0,64,157
0,53,175,0,69,168
0,64,181,0,73,184
0,77,186,0,74,199
0,87,191,0,76,216
0,95,198,0,83,227
0,102,206,0,95,232
0,106,218,0,106,231
0,113,233,0,119,228
0,126,244,0,129,225
0,145,245,0,139,219
0,155,238,0,150,216
0,165,223,0,164,215
0,170,206,0,178,211
0,175,191,0,190,202
0,181,177,0,200,189
0,188,168,0,205,176
0,198,156,0,207,158
0,211,147,0,207,144
0,219,136,0,205,131
0,222,120,0,203,120
0,219,107,0,203,108
0,211,93,0,209,90
0,201,81,0,211,73
0,195,67,0,209,59
0,193,51,0,199,45
0,190,31,0,185,40
0,182,18,0,177,36
0,167,15,0,165,26
0,154,18,0,156,14
0,144,19,0,144,7
0,135,17,0,134,14
0,122,7,0,123,18
0,112,19,0,109,15
0,102,27,0,96,17
0,84,23,0,87,23
0,73,24,0,83,33
0,74,40,0,73,36
0,79,49,0,65,41
0,59,51,0,62,58
0,45,58,0,58,71
0,46,76,0,51,80
0,53,95,0,34,85